Date,Ticker,Value,Name,IsMapped,Weight
2000-06-30,ALGN,22912226.0,Linear Technology Corporation,True,0.013873115597698691
2000-06-30,AMAT,28742744.0,"Applied Materials, Inc.",True,0.017403433874432824
2000-06-30,AMGN,36913225.0,Amgen Inc.,True,0.02235057551845296
2000-06-30,AMZN,34178637.0,"Amazon.com, Inc.",True,0.02069481079982284
2000-06-30,ATHM,20756417.0,At Home Corporation,True,0.012567795570584817
2000-06-30,BIIB,27737429.0,"Biogen, Inc.",True,0.016794726051495828
2000-06-30,"BMC Software, Inc.",24842421.0,"BMC Software, Inc.",False,0.0150418286839392
2000-06-30,CAPC,15957432.0,"Costco Companies, Inc",True,0.00966205984431265
2000-06-30,CMCSV,26411126.0,Comcast Corporation,True,0.015991663318238283
2000-06-30,CSCO,152792080.0,"Cisco Systems, Inc.",True,0.09251402235002512
2000-06-30,"Conexant Systems, Inc.",14899545.0,"Conexant Systems, Inc.",False,0.009021520219733934
2000-06-30,Dell Computer Corporation,74476718.0,Dell Computer Corporation,False,0.045094881577687256
2000-06-30,FULO,52216913.0,"Nextel Communications, Inc.",True,0.03161680013997661
2000-06-30,GIB,24377472.0,"CMGI, Inc.",True,0.014760306878766958
2000-06-30,Global Crossings Ltd.,22559741.0,Global Crossings Ltd.,False,0.013659689580014735
2000-06-30,IMNM,18552095.0,Immunex Corporation,True,0.011233101424300194
2000-06-30,INTC,165839565.0,Intel Corporation,True,0.10041413941696743
2000-06-30,JDS Uniphase Corporation,28246100.0,JDS Uniphase Corporation,False,0.01710272107494737
2000-06-30,"MCI WorldCom, Inc.",92284194.0,"MCI WorldCom, Inc.",False,0.05587712390766624
2000-06-30,MSFT,303128717.0,Microsoft Corporation,True,0.1835412993885052
2000-06-30,"Maxim Integrated Products, Inc.",22726306.0,"Maxim Integrated Products, Inc.",False,0.013760542962812665
2000-06-30,NTL Incorporated,15481087.0,NTL Incorporated,False,0.009373637879140615
2000-06-30,NTRA,23119222.0,Altera Corporation,True,0.013998449532352672
2000-06-30,"Novell, Inc.",15832806.0,"Novell, Inc.",False,0.009586600091756142
2000-06-30,ORCL,51245558.0,Oracle Corporation,True,0.031028654745399814
2000-06-30,PAYX,15210673.0,"Paychex, Inc",True,0.009209905002150135
2000-06-30,POAI,27071729.0,"Apple Computer, Inc.",True,0.016391651594505573
2000-06-30,QUALCOMM Incorporated,69804512.0,QUALCOMM Incorporated,False,0.0422659092231783
2000-06-30,Qwest Communications International Inc.,22004522.0,Qwest Communications International Inc.,False,0.013323510224545795
2000-06-30,September,1999.0,September,False,1.2103738012971627e-06
2000-06-30,"Sun Microsystems, Inc.",59641179.0,"Sun Microsystems, Inc.",False,0.03611211632820136
2000-06-30,"Tellabs, Inc.",24257482.0,"Tellabs, Inc.",False,0.014687654176206854
2000-06-30,VERITAS Software Corporation,25073803.0,VERITAS Software Corporation,False,0.015181928089087644
2000-06-30,WEAV,23491284.0,"Level 3 Communications, Inc.",True,0.014223729220826022
2000-06-30,"Xilinx, Inc.",26183470.0,"Xilinx, Inc.",False,0.015853819967508866
2000-06-30,Yahoo! Inc.,42585477.0,Yahoo! Inc.,False,0.025785065370956924
2000-09-15,ALGN,22391144.37706623,Linear Technology Corporation,True,0.01463970719012547
2000-09-15,AMAT,23192433.86401365,"Applied Materials, Inc.",True,0.015163603747884752
2000-09-15,AMGN,35533891.191011816,Amgen Inc.,True,0.023232656339575223
2000-09-15,AMZN,41061429.08020122,"Amazon.com, Inc.",True,0.026846653677868468
2000-09-15,ATHM,20284363.89365188,At Home Corporation,True,0.013262258638516508
2000-09-15,BIIB,34608981.51230353,"Biogen, Inc.",True,0.02262793481906773
2000-09-15,"BMC Software, Inc.",24277441.890057385,"BMC Software, Inc.",False,0.015873000263432458
2000-09-15,CAPC,21505913.302422907,"Costco Companies, Inc",True,0.01406092820901846
2000-09-15,CMCSV,25810470.5944716,Comcast Corporation,True,0.016875320241756944
2000-09-15,CSCO,150838968.32806304,"Cisco Systems, Inc.",True,0.09862105714637816
2000-09-15,"Conexant Systems, Inc.",14560691.887710746,"Conexant Systems, Inc.",False,0.009520025512409751
2000-09-15,Dell Computer Corporation,72782930.19054748,Dell Computer Corporation,False,0.04758670519405434
2000-09-15,FULO,22538718.429402187,"Nextel Communications, Inc.",True,0.0147361935902253
2000-09-15,GIB,24189951.835506756,"CMGI, Inc.",True,0.015815797792710095
2000-09-15,Global Crossings Ltd.,22046675.772149786,Global Crossings Ltd.,False,0.01441448781646394
2000-09-15,IMNM,18130173.717824206,Immunex Corporation,True,0.011853812831777704
2000-09-15,INTC,142741583.69695604,Intel Corporation,True,0.09332685074008815
2000-09-15,JDS Uniphase Corporation,27603712.67239815,JDS Uniphase Corporation,False,0.01804777210485804
2000-09-15,"MCI WorldCom, Inc.",90185419.41648048,"MCI WorldCom, Inc.",False,0.058964745653116976
2000-09-15,MSFT,243213554.92609268,Microsoft Corporation,True,0.15901711716147734
2000-09-15,"Maxim Integrated Products, Inc.",22209452.66528824,"Maxim Integrated Products, Inc.",False,0.014520914089848434
2000-09-15,NTL Incorporated,15129008.160574319,NTL Incorporated,False,0.009891600260265325
2000-09-15,NTRA,22593432.767616984,Altera Corporation,True,0.014771966745767388
2000-09-15,"Novell, Inc.",15472728.186256561,"Novell, Inc.",False,0.010116330200219816
2000-09-15,ORCL,47740296.816275105,Oracle Corporation,True,0.03121340985482582
2000-09-15,PAYX,16001747.291363493,"Paychex, Inc",True,0.010462211798155475
2000-09-15,POAI,26456049.821427684,"Apple Computer, Inc.",True,0.01729741080986318
2000-09-15,QUALCOMM Incorporated,68216981.90139413,QUALCOMM Incorporated,False,0.04460141132640712
2000-09-15,Qwest Communications International Inc.,21504083.848087482,Qwest Communications International Inc.,False,0.014059732080971707
2000-09-15,September,1953.537714308308,September,False,1.2772558490415036e-06
2000-09-15,"Sun Microsystems, Inc.",58284788.64547907,"Sun Microsystems, Inc.",False,0.038107576148815055
2000-09-15,"Tellabs, Inc.",23705805.87351422,"Tellabs, Inc.",False,0.015499255011265128
2000-09-15,VERITAS Software Corporation,24503561.68165923,VERITAS Software Corporation,False,0.016020841190327366
2000-09-15,WEAV,22957033.14233483,"Level 3 Communications, Inc.",True,0.015009694792643864
2000-09-15,"Xilinx, Inc.",25587992.064262208,"Xilinx, Inc.",False,0.016729860032867805
2000-09-15,Yahoo! Inc.,41616976.18874889,Yahoo! Inc.,False,0.027209879731101762
2000-12-15,ALGN,15663075.40149617,Linear Technology Corporation,True,0.016230647557584434
2000-12-15,AMAT,12527871.510507243,"Applied Materials, Inc.",True,0.012981835426414595
2000-12-15,AMGN,31494456.071820784,Amgen Inc.,True,0.03263569914697082
2000-12-15,AMZN,21530776.160084266,"Amazon.com, Inc.",True,0.022310972177417204
2000-12-15,ATHM,14189338.239588633,At Home Corporation,True,0.01470350758958357
2000-12-15,BIIB,49519510.68543896,"Biogen, Inc.",True,0.05131391534274436
2000-12-15,"BMC Software, Inc.",16982580.09844665,"BMC Software, Inc.",False,0.017597966244228484
2000-12-15,CAPC,8877570.083876653,"Costco Companies, Inc",True,0.00919926052232332
2000-12-15,CMCSV,18054965.849953465,Comcast Corporation,True,0.01870921130513267
2000-12-15,CSCO,115795970.24199109,"Cisco Systems, Inc.",True,0.09614330040564217
2000-12-15,"Conexant Systems, Inc.",10185509.552104857,"Conexant Systems, Inc.",False,0.010554594898957848
2000-12-15,Dell Computer Corporation,50913187.1207087,Dell Computer Corporation,False,0.042272298714069664
2000-12-15,FULO,18987968.211684916,"Nextel Communications, Inc.",True,0.019676022235648304
2000-12-15,GIB,12751292.184322374,"CMGI, Inc.",True,0.013213352042456999
2000-12-15,Global Crossings Ltd.,15422112.383197714,Global Crossings Ltd.,False,0.015980952927113563
