Date,Ticker,Name,Value,IsMapped,Weight
2000-06-30,September,September,1999.0,False,1.210373801297163e-06
2000-06-30,MSFT,Microsoft Corporation,303128717.0,True,0.18354129938850522
2000-06-30,INTC,Intel Corporation,165839565.0,True,0.10041413941696746
2000-06-30,CSCO,"Cisco Systems, Inc.",152792080.0,True,0.09251402235002514
2000-06-30,"MCI WorldCom, Inc.","MCI WorldCom, Inc.",92284194.0,False,0.055877123907666255
2000-06-30,Dell Computer Corporation,Dell Computer Corporation,74476718.0,False,0.04509488157768726
2000-06-30,QUALCOMM Incorporated,QUALCOMM Incorporated,69804512.0,False,0.042265909223178307
2000-06-30,"Sun Microsystems, Inc.","Sun Microsystems, Inc.",59641179.0,False,0.03611211632820137
2000-06-30,FULO,"Nextel Communications, Inc.",52216913.0,True,0.031616800139976614
2000-06-30,ORCL,Oracle Corporation,51245558.0,True,0.03102865474539982
2000-06-30,Yahoo! Inc.,Yahoo! Inc.,42585477.0,False,0.02578506537095693
2000-06-30,AMGN,Amgen Inc.,36913225.0,True,0.022350575518452962
2000-06-30,AMZN,"Amazon.com, Inc.",34178637.0,True,0.020694810799822844
2000-06-30,AMAT,"Applied Materials, Inc.",28742744.0,True,0.017403433874432828
2000-06-30,JDS Uniphase Corporation,JDS Uniphase Corporation,28246100.0,False,0.017102721074947373
2000-06-30,BIIB,"Biogen, Inc.",27737429.0,True,0.01679472605149583
2000-06-30,POAI,"Apple Computer, Inc.",27071729.0,True,0.016391651594505577
2000-06-30,CMCSV,Comcast Corporation,26411126.0,True,0.015991663318238286
2000-06-30,"Xilinx, Inc.","Xilinx, Inc.",26183470.0,False,0.01585381996750887
2000-06-30,VERITAS Software Corporation,VERITAS Software Corporation,25073803.0,False,0.015181928089087648
2000-06-30,"BMC Software, Inc.","BMC Software, Inc.",24842421.0,False,0.015041828683939204
2000-06-30,GIB,"CMGI, Inc.",24377472.0,True,0.014760306878766961
