Date,FilingID,Company,Shares,Value
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,September,30,1999
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Microsoft Corporation,3347177,303128717
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Intel Corporation,2231651,165839565
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Cisco Systems, Inc.",2228508,152792080
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"MCI WorldCom, Inc.",1283954,92284194
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Dell Computer Corporation,1781207,74476718
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,QUALCOMM Incorporated,368970,69804512
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Sun Microsystems, Inc.",641303,59641179
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Nextel Communications, Inc.",770019,52216913
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Oracle Corporation,1126276,51245558
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Yahoo! Inc.,237245,42585477
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Amgen Inc.,452923,36913225
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Amazon.com, Inc.",427567,34178637
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Applied Materials, Inc.",369979,28742744
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,JDS Uniphase Corporation,248181,28246100
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Biogen, Inc.",351942,27737429
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Apple Computer, Inc.",427589,27071729
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Comcast Corporation,662348,26411126
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Xilinx, Inc.",399557,26183470
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,VERITAS Software Corporation,330190,25073803
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"BMC Software, Inc.",347143,24842421
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"CMGI, Inc.",237829,24377472
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Tellabs, Inc.",426037,24257482
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Level 3 Communications, Inc.",449863,23491284
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Altera Corporation,533008,23119222
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Linear Technology Corporation,389788,22912226
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Maxim Integrated Products, Inc.",360199,22726306
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Global Crossings Ltd.,851311,22559741
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Qwest Communications International Inc.,744339,22004522
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,At Home Corporation,500909,20756417
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Immunex Corporation,427714,18552095
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Costco Companies, Inc",221631,15957432
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Novell, Inc.",765332,15832806
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,NTL Incorporated,161104,15481087
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Paychex, Inc",445734,15210673
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Conexant Systems, Inc.",205069,14899545
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,September,30,2000
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,Microsoft Corporation,10710692,645988611
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,Intel Corporation,13903713,577873072
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,Oracle Corporation,6941203,546619736
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,JDS Uniphase Corporation,5249334,497046313
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,"Sun Microsystems, Inc.",4086857,477140555
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,"Qualcomm, Inc.",5314161,378633971
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,Veritas Software Corporation,2429919,345048498
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,"Siebel Systems, Inc.",2885981,321245760
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,"Juniper Networks, Inc.",1225664,268343812
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,Nextel Communications Corporation,5527135,258393561
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,"Network Appliance, Inc.",1955410,249070349
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,Ciena Corporation,1994251,244918951
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,"I2 Technologies, Inc.",1260512,235794526
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,"PMC-Sierra, Inc.",1030028,221713527
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,"Gemstar-TV Guide International, Inc.",2536013,221108633
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,"Xilinx, Inc.",2577967,220738424
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,"Verisign, Inc.",1084273,219633050
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,"Amgen, Inc.",2834331,197916033
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,"Maxim Integrated Products, Inc.",2342256,188405217
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,"WorldCom, Inc.",6111675,185642128
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,Applied Micro Circuits Corporation,860853,178250374
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,Immunex Corporation,4079886,177475041
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,Global Crossing Ltd.,5636547,174732957
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,Dell Computer Corporation,5628555,173429851
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,SDL Incorporated,530220,164003674
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,Linear Technology Corporation,2474715,160237796
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,Altera Corporation,3318469,158456895
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,VoiceStream Wireless Corporation,1359515,157788710
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,"Applied Materials, Inc.",2480734,147138535
2001-01-30,2001-01-30_0000912057-01-003392_a2036273z485bpos.txt,Yahoo Inc.,1570865,142948715
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,September,30,2000
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,Microsoft Corporation,10710692,645988611
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,Intel Corporation,13903713,577873072
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,Oracle Corporation,6941203,546619736
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,JDS Uniphase Corporation,5249334,497046313
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,"Sun Microsystems, Inc.",4086857,477140555
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,"Qualcomm, Inc.",5314161,378633971
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,Veritas Software Corporation,2429919,345048498
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,"Siebel Systems, Inc.",2885981,321245760
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,"Juniper Networks, Inc.",1225664,268343812
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,Nextel Communications Corporation,5527135,258393561
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,"Network Appliance, Inc.",1955410,249070349
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,Ciena Corporation,1994251,244918951
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,"I2 Technologies, Inc.",1260512,235794526
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,"PMC-Sierra, Inc.",1030028,221713527
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,Inc.,2536013,221108633
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,"Xilinx, Inc.",2577967,220738424
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,"Verisign, Inc.",1084273,219633050
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,"Amgen, Inc.",2834331,197916033
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,"Maxim Integrated Products, Inc.",2342256,188405217
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,"WorldCom, Inc.",6111675,185642128
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,Applied Micro Circuits Corporation,860853,178250374
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,Immunex Corporation,4079886,177475041
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,Global Crossing Ltd.,5636547,174732957
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,Dell Computer Corporation,5628555,173429851
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,SDL Incorporated,530220,164003674
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,Linear Technology Corporation,2474715,160237796
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,Altera Corporation,3318469,158456895
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,VoiceStream Wireless Corporation,1359515,157788710
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,"Applied Materials, Inc.",2480734,147138535
2001-10-01,2001-10-01_0000912057-01-534103_a2059883z485bpos.txt,Yahoo Inc.,1570865,142948715
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,September,30,2001
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,Microsoft Corporation,42364680,2167800676
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,Intel Corporation,53883383,1101376349
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"Qualcomm, Incorporated",20975917,997195094
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"Cisco Systems, Inc.",59804190,728415034
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,Oracle Corporation,53188891,669116249
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"Amgen, Inc",11162690,656031291
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,Dell Computer Corporation,21906693,405931021
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,Comcast Corporation,10258215,367962172
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"Maxim Integrated Products, Inc.",10521429,367618729
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"WorldCom, Inc",24328484,365900399
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,Linear Technology Corporation,9716628,318705398
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"Concord EFS, Inc.",6489876,317679430
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,Immunex Corporation,16756970,313020200
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"Applied Materials, Inc.",9654791,274582256
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,Genzyme General,5953551,270410286
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,Chiron Corporation,6073711,269490557
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"Sun Microsystems, Inc.",32402373,267967625
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"Paychex, Inc",8119606,255848785
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"Biomet, Inc",8300263,242782693
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"Xilinx, Inc.",10120682,238139647
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"Biogen, Inc.",4174213,232002759
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"Bed Bath & Beyond, Inc.",8901056,226620886
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"Intuit, Inc.",6025706,215720275
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,eBay Inc.,4661255,213252416
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,Altera Corporation,12415639,203368167
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,Flextronics International Ltd.,11979762,198145263
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,JDS Uniphase Corporation,31026831,196089572
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,Inc.,9874905,194634378
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,Costco Wholesale Corporation,5432081,193164800
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,Nextel Communications Corporation,21804511,188390975
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,Cintas Corporation,4656115,187641435
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,IDEC Pharmaceuticals Corporation,3776725,187212258
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"MedImmune, Inc.",5231063,186382775
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"VeriSign, Inc.",4374838,183305712
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"Fiserv, Inc.",5347716,182891887
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,Starbucks Corporation,12124648,181142241
2002-01-30,2002-01-30_0000912057-02-003384_a2068197z485bpos.txt,"PeopleSoft, Inc.",9776683,176371361
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,September,30,2001
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Microsoft Corporation,42364680,2167800676
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Intel Corporation,53883383,1101376349
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"Qualcomm, Incorporated",20975917,997195094
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"Cisco Systems, Inc.",59804190,728415034
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Oracle Corporation,53188891,669116249
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"Amgen, Inc.",11162690,656031291
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Dell Computer Corporation,21906693,405931021
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Comcast Corporation,10258215,367962172
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"Maxim Integrated Products, Inc.",10521429,367618729
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"WorldCom, Inc.",24328484,365900399
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Linear Technology Corporation,9716628,318705398
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"Concord EFS, Inc.",6489876,317679430
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Immunex Corporation,16756970,313020200
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"Applied Materials, Inc.",9654791,274582256
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Genzyme General,5953551,270410286
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Chiron Corporation,6073711,269490557
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"Sun Microsystems, Inc.",32402373,267967625
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"Paychex, Inc",8119606,255848785
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"Biomet, Inc",8300263,242782693
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"Xilinx, Inc.",10120682,238139647
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"Biogen, Inc.",4174213,232002759
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"Bed Bath & Beyond, Inc.",8901056,226620886
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"Intuit, Inc.",6025706,215720275
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,eBay Inc.,4661255,213252416
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Altera Corporation,12415639,203368167
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Flextronics International Ltd.,11979762,198145263
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,JDS Uniphase Corporation,31026831,196089572
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Inc.,9874905,194634378
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Costco Wholesale Corporation,5432081,193164800
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Nextel Communications Corporation,21804511,188390975
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Cintas Corporation,4656115,187641435
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,IDEC Pharmaceuticals Corporation,3776725,187212258
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"MedImmune, Inc.",5231063,186382775
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"VeriSign, Inc.",4374838,183305712
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"Fiserv, Inc.",5347716,182891887
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Starbucks Corporation,12124648,181142241
2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"PeopleSoft, Inc.",9776683,176371361
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,September,30,2002
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Intel Corporation,58097152,806969441
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Cisco Systems, Inc.",65069139,681924577
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,QUALCOMM Inc,23331959,644428708
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Amgen Inc.,14829910,618407247
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Dell Computer Corporation,23758718,558567460
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Oracle Corporation,55874409,439172855
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Bed Bath & Beyond Inc.,9777255,318445195
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Intuit Inc.,6635695,302123193
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Maxim Integrated Products, Inc.",11263686,278888865
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Starbucks Corporation,13440810,277418318
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,eBay Inc.,5232345,276320140
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Applied Materials, Inc.",21215512,245039164
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Biomet, Inc",8825002,235009803
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Comcast Corporation,11183113,233279737
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Electronic Arts Inc.,3494141,230473540
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Chiron Corporation,6579326,229881650
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Concord EFS, Inc.",14406129,228769329
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Linear Technology Corporation,10560295,218809312
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Paychex, Inc",8879370,215502310
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Cintas Corporation,5080860,212989651
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Nextel Communications, Inc.",28052009,211792668
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,USA Interactive,10902655,211293454
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Costco Wholesale Corporation,5962830,193016807
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Apollo Group, Inc.",4367381,189675357
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Apple Computer, Inc.",12460540,180677830
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Xilinx, Inc.",11146426,176537095
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,IDEC Pharmaceuticals Corporation,4131484,171539216
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Fiserv, Inc.",5986505,168101060
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Gilead Sciences, Inc.",4801017,160978100
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,KLA-Tencor Corporation,5704843,159393313
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,VERITAS Software Corporation,10444594,153222194
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"MedImmune, Inc.",6681367,139774198
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Genzyme Corporation,6687066,137820430
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"PeopleSoft, Inc.",10980411,135827684
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Biogen, Inc.",4542949,132972117
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Symantec Corporation,3714284,124911371
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Altera Corporation,13372192,115936905
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Adobe Systems Incorporated,5855565,111841292
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,PACCAR Inc,3233244,109251315
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,EchoStar Communications Corporation,6225460,107700458
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Staples, Inc.",7847688,100371930
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Amazon.com, Inc.",6288385,100173973
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Flextronics International Ltd.,13954490,97290704
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Express Scripts, Inc.",1749128,95362459
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"CDW Computer Centers, Inc.",2180442,92363523
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Sun Microsystems, Inc.",35152548,91045099
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,PanAmSat Corporation,5030252,87274872
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Microchip Technology Incorporated,4178399,85448260
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Check Point Software Technologies Ltd.,5971005,82041609
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Siebel Systems, Inc.",13935150,80127113
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Lincare Holdings Inc.,2552224,79221033
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Novellus Systems, Inc.",3640328,75755226
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Smurfit-Stone Container Corporation,5969279,75033837
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Millennium Pharmaceuticals, Inc.",7763918,72359716
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,JDS Uniphase Corporation,35685575,69515500
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Yahoo! Inc.,7186624,68775992
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Synopsys, Inc.",1751108,66804770
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Network Appliance, Inc.",8759073,64204005
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,QLogic Corporation,2369866,61711311
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Dollar Tree Stores, Inc.",2733519,60246759
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Molex Incorporated,2432369,57209319
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Cephalon, Inc.",1255725,51258695
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Broadcom Corporation,4568612,48792776
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"BEA Systems, Inc.",9365200,48511736
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Brocade Communications Systems, Inc.",5932438,44671258
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Invitrogen Corporation,1243141,42353814
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Sanmina-SCI Corporation,13940261,38614523
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Human Genome Sciences, Inc.",3185867,38421556
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Andrx Corp,1734029,38408742
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Mercury Interactive Corporation,2227499,38223883
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,CIENA Corporation,12756218,37885967
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,NVIDIA Corporation,4099707,35093492
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Cytyc Corporation,3227377,34597481
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Comverse Technology, Inc.",4833369,33785249
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,ICOS Corporation,1496914,31390287
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Citrix Systems, Inc.",5174223,31200565
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Juniper Networks, Inc.",6057786,29077373
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"RF Micro Devices, Inc.",4775274,28651644
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"ADC Telecommunications, Inc.",24751291,28463985
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"VeriSign, Inc.",5554441,28049927
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Gemstar-TV Guide International Inc.,10823373,27274900
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,TMP Worldwide Inc.,2982335,26841015
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Integrated Device Technology, Inc.",2443969,25515036
2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Applied Micro Circuits Corporation,8695707,24869722
